"","hunting","gathering","fishing","MAT","MATseas","TAP","TAPseas","lon","lat"
"Bella_Bella",0.200097541479686,0.100097541479686,0.700097541479686,-0.739311094355264,-0.293774052271117,1.37232345361772,-0.68440909041108,-127.87,52.87
"Quileute",0.150045619028216,0.100045619028216,0.750045619028216,-0.278401332696957,-0.514359410094184,2.81265511140876,0.0935066134055387,-124.14,47.77
"Klallam",0.200048778807856,0.100048778807856,0.700048778807856,-0.269363886389932,-0.408538056003388,0.994408457394523,0.278724638123781,-123.55,47.95
"Makah",0.100063748314151,0.100063748314151,0.800063748314152,-0.215139208547778,-0.71482380622393,1.93419045131379,-0.0546678063690553,-124.58,48.22
"Haisla",0.350002895357353,0.100002895357353,0.550002895357353,-0.775460879583366,-0.232169132518728,1.12455137000119,-0.647365485467431,-128.42,53.5
"Kwakiutl",0.100132485190287,0.0501324851902872,0.850132485190287,-0.721236201741213,-0.596830512343348,1.2271640510949,-0.42510385580554,-126.67,50.42
"Tsimshim",0.200185287801104,0.0501852878011042,0.750185287801104,-0.703161309127161,-0.366805691009835,1.38483719521451,-0.68440909041108,-129.58,54
"Haida",0.100019849219956,0.0100198492199558,0.890019849219956,-0.39588813468829,-0.581180875470766,0.960621355083178,-0.758496300298377,-132.29,53.54
"Bella_Coola",0.25002587561846,0.0500258756184595,0.700025875618459,-0.929097466802802,-0.154169355090302,0.177261131123843,-0.795539905242025,-126.58,52.32
"Tlingit",0.15008988012343,0.0100898801234296,0.84008988012343,-0.549524721907726,-0.293774052271117,1.93419045131379,-0.758496300298377,-133.59,57
"Gitksan",0.300053397954977,0.0100533979549765,0.690053397954976,-0.730273648048238,0.46237665630255,-0.387108614891589,-0.869627115129322,-128.06,55.65
"Konaig",0.0500887295720285,0.0100887295720285,0.940088729572028,-0.667011523899059,-0.245086293111971,0.61524208701165,-1.42528118928405,-153.16,57.93
"Eyak",0.100048836662564,0.000148836662563729,0.899948836662564,-0.721236201741213,-0.111940176227778,1.31350886811278,-0.943714325016619,-144,60.48
"Kuskowagmut",0.200111717520567,0.0501117175205666,0.750111717520567,-1.15503362447844,0.940808412121499,-0.642388943466196,0.167593823292836,-161.55,61.01
"Chugach_Eskimo",0.100074995130185,0.000174995130185262,0.899974995130185,-1.2454080875487,0.418905442767599,-0.211916232536466,-1.20301955962216,-147.61,61.21
"Aleut",0.0500218605125886,0.0100218605125886,0.940021860512589,-0.920060020495776,-0.616454660167698,0.0784025725091662,-1.24006316456581,-162.85,55
"Nunivak",0.150107183801968,0.0101071838019685,0.840107183801968,-1.16407107078547,0.181180006465037,-0.255714328125247,-0.202842226143649,-166.3,60.03
"Tenino",0.200042255321984,0.300042255321984,0.500042255321984,-0.0343902824072656,0.227880510148299,-0.828843693258434,-0.239885831087298,-120.45,45.59
"Umatiela",0.300108295016687,0.300108295016687,0.400108295016687,-0.0615026213283425,0.150874360457813,-0.806318958384204,-0.610321880523783,-119.94,45.49
"Wanatchi",0.250123711432282,0.200123711432282,0.550123711432282,-0.0795775139423937,0.496159999392569,-0.847614305653626,-0.239885831087298,-120.31,47.41
"Yakima",0.250151557637854,0.300151557637854,0.450151557637854,-0.00727794348618876,0.363013882508376,-0.916439884435996,-0.42510385580554,-120.27,46.33
"Wishram",0.150092158232519,0.250092158232519,0.600092158232519,-0.305513671618034,0.0614478640430566,-0.375846247454474,0.463942662842024,-121.13,45.72
"Coeur_D'alene",0.550078708338832,0.200078708338832,0.250078708338832,-0.594711953442854,0.172734170692532,0.0521237151558978,-0.610321880523783,-116.34,47.42
"Sinkaietk",0.250097935348326,0.150097935348326,0.600097935348326,-0.278401332696957,0.491937081506317,-0.763772236955103,-1.24006316456581,-119.56,48.78
"Okanagon",0.300025716544763,0.250025716544763,0.450025716544763,-0.287438779003983,0.367982021198084,-0.780040101030936,-1.3141503744531,-119.63,49.46
"Sanpoil",0.350023323890439,0.25002332389044,0.40002332389044,-0.413963027302342,0.369472462804997,-0.659908181701709,-0.869627115129322,-118.44,47.94
"Nez_Perce",0.150022868786419,0.330022868786419,0.520022868786419,-0.45915025883747,0.130256584895522,-0.370840750815756,-1.24006316456581,-116.46,46.25
"Thompson",0.250166255800822,0.200166255800822,0.550166255800822,-0.703161309127161,0.380402367922356,-0.65740543338235,-1.16597595467851,-121.75,51.26
"Kalispel",0.350035300158952,0.200035300158952,0.450035300158952,-0.441075366223418,0.250237134251988,-0.145593402073455,-0.68440909041108,-115.67,47.94
"East_Ojibwa--Kitchibuan",0.40013392197365,0.15013392197365,0.45013392197365,-0.404925580995316,0.750031886436685,-0.144342027913776,-1.16597595467851,-85.1,45.21
"Katikitegon_Lac_Vieux",0.450192691358585,0.150192691358585,0.400192691358585,-0.522412382986649,1.15021545789272,-0.130576912157302,-0.276929436030946,-91,45
"Micmac_(Souriquois)",0.550140611462835,0.100140611462835,0.350140611462835,-0.513374936679623,0.598255249466083,0.259851825662686,-1.57345560905864,-65,46.99
"Flathead",0.600124424617028,0.200124424617028,0.200124424617028,-0.838723003732546,0.258931376958978,-0.609853215314531,-0.980757929960268,-113.26,46.28
"Rainy_River-(Emo_Ojibw)",0.600121679309105,0.100121679309105,0.300121679309105,-0.404925580995316,0.750031886436685,-0.144342027913776,-1.16597595467851,-85.1,45.21
"North_Saulteaux-Berens",0.650093429894732,0.0500934298947321,0.300093429894732,-1.01947192987306,1.73620741634386,-0.460939690312676,-0.388060250861892,-96.78,52.28
"Shuswap-(Southeastern)",0.3000083674992,0.1500083674992,0.5500083674992,-1.2454080875487,0.199562119616959,-0.168118136947685,-1.4623247942277,-119.53,53.41
"Pekangekum-Ojibwa",0.600132619068629,0.100132619068629,0.300132619068629,-1.04658426879413,1.69820115536759,-0.385857240731909,-0.388060250861892,-93.85,51.84
"Round_Lake_Ojibwa",0.650073097041438,0.150073097041438,0.200073097041438,-1.19118340970654,1.76402899300623,-0.324539906907616,-0.462147460749189,-90.62,52.71
"Alcatcho",0.550084888350318,0.100084888350318,0.350084888350318,-1.13695873186439,0.0977152764779302,-0.47470480606915,-1.3141503744531,-124.02,51.32
"Ojibwa-Nipigon",0.550159715791857,0.100159715791857,0.350159715791857,-0.929097466802802,1.32484553283598,-0.1793805043848,-1.01780153490392,-88.31,49.34
"Mistassini_Cree",0.74000571072086,0.00900571072085975,0.25100571072086,-1.33578255061895,1.51288958224146,0.0145824903655143,-0.869627115129322,-72.66,51.75
"No.Ojibwa--Albanymoose",0.600048548274766,0.0500485482747659,0.350048548274766,-1.06465916140819,1.56356459687649,-0.265725321402682,-0.906670720072971,-83.1,51.22
"Waswanipi-Cree",0.55007507485083,0.0500750748508301,0.40007507485083,-1.04658426879413,1.4388643157648,-0.014199115307113,-0.795539905242025,-76.64,49.78
"Ojibwa-Weagamon",0.550123727457598,0.100123727457598,0.350123727457598,-1.19118340970654,1.76651306235109,-0.329545403546334,-0.462147460749189,-90.64,52.79
"Montagnais",0.500034247536244,0.100034247536244,0.400034247536244,-1.09177150032926,1.46941836870651,0.0396099735591033,-1.09188874479121,-63.33,52.42
"Sekani",0.600266231894498,0.100266231894498,0.300266231894498,-0.920060020495776,1.23218974627292,-0.581071609641903,-0.313973040974595,-120,56.14
"Beaver",0.550000995242587,0.100000995242587,0.350000995242586,-1.08273405402224,1.83855107335186,-0.663662304180747,-0.42510385580554,-115.76,58.51
"Slave",0.600145810805379,0.100145810805379,0.300145810805379,-1.35385744323301,2.22805314662503,-0.697449406492092,-0.499191065692837,-119.5,61.15
"Kaska",0.650038572625213,0.100038572625213,0.250038572625213,-1.36289488954003,1.06401825162628,-0.469699309430432,-1.24006316456581,-125,59.73
"Tahltan",0.600108487574464,0.100108487574464,0.300108487574464,-1.18214596339952,0.857592089068878,-0.561049623087032,-0.906670720072971,-127.85,57.66
"Chilcotin",0.400132850465153,0.100132850465153,0.500132850465153,-0.793535772197417,0.190122656106512,-0.480961676867547,-1.01780153490392,-124,51.68
"Carrier_(Hwitsowitenne)",0.470110601919587,0.100110601919587,0.430110601919587,-0.766423433276341,0.5450961654862,-0.502235037582098,-1.12893234973486,-123.15,53.33
"Mountain",0.750131215763331,0.100131215763331,0.150131215763331,-1.62498083244377,2.11776046771349,-0.65615405922267,-0.42510385580554,-125.37,63.68
"Han_(Yukon_Athabaskan)",0.700067111715558,0.100067111715558,0.200067111715558,-1.44423190630326,2.00225124317777,-0.783794223509974,0.0935066134055387,-141.2,64.79
"Hare",0.65004101905561,0.10004101905561,0.25004101905561,-1.91417911426859,1.96374816833252,-0.860128047250421,-0.239885831087298,-125,67.47
"Attawapiskat_Cree",0.400257614976095,0.0502576149760949,0.550257614976095,-1.27252042646978,1.63957711882903,-0.42965533632069,-0.42510385580554,-83.88,53.62
"Koyukon",0.600010760804788,0.0500107608047884,0.350010760804788,-1.76054252704916,2.1910405133867,-0.646143065945235,-0.0176242014254068,-153.78,66.52
